Combos,Unidades,Categorías cubiertas,Baldosas,Empapelado vinílico,Apliques de luz,Alacenas,Mesadas,Bacha y grifería,Lavavajillas + cocinas
5 - 15 - 20,22,8,3,3,3,3,3,3,4
5 - 16 - 17,22,8,3,3,3,3,3,3,4
5 - 16 - 18,22,8,3,3,3,3,3,3,4
5 - 16 - 19,22,8,3,3,3,3,3,3,4
5 - 16 - 20,22,8,3,3,3,3,3,3,4
5 - 17 - 18,22,8,3,3,3,3,3,3,4
5 - 17 - 19,22,8,3,3,3,3,3,3,4
5 - 17 - 20,22,8,3,3,3,3,3,3,4
5 - 18 - 19,22,8,3,3,3,3,3,3,4
5 - 18 - 20,22,8,3,3,3,3,3,3,4
5 - 19 - 20,22,8,3,3,3,3,3,3,4
6 - 7 - 14,23,8,3,3,3,3,3,3,5
6 - 7 - 15,23,8,3,3,3,3,3,3,5
6 - 7 - 16,23,8,3,3,3,3,3,3,5
6 - 7 - 17,23,8,3,3,3,3,3,3,5
6 - 7 - 18,23,8,3,3,3,3,3,3,5
6 - 7 - 19,23,8,3,3,3,3,3,3,5
6 - 7 - 20,23,8,3,3,3,3,3,3,5
6 - 8 - 14,23,8,3,3,3,3,3,3,5
6 - 8 - 15,23,8,3,3,3,3,3,3,5
6 - 8 - 16,23,8,3,3,3,3,3,3,5
6 - 8 - 17,23,8,3,3,3,3,3,3,5
6 - 8 - 18,23,8,3,3,3,3,3,3,5
6 - 8 - 19,23,8,3,3,3,3,3,3,5
6 - 8 - 20,23,8,3,3,3,3,3,3,5
6 - 9 - 14,23,8,3,3,3,3,3,3,5
6 - 9 - 15,23,8,3,3,3,3,3,3,5
6 - 9 - 16,23,8,3,3,3,3,3,3,5
6 - 9 - 17,23,8,3,3,3,3,3,3,5
6 - 9 - 18,23,8,3,3,3,3,3,3,5
6 - 9 - 19,23,8,3,3,3,3,3,3,5
6 - 9 - 20,23,8,3,3,3,3,3,3,5
6 - 10 - 14,23,8,3,3,3,3,3,3,5
6 - 10 - 15,23,8,3,3,3,3,3,3,5
6 - 10 - 16,23,8,3,3,3,3,3,3,5
6 - 10 - 17,23,8,3,3,3,3,3,3,5
6 - 10 - 18,23,8,3,3,3,3,3,3,5
6 - 10 - 19,23,8,3,3,3,3,3,3,5
6 - 10 - 20,23,8,3,3,3,3,3,3,5
